City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (°C)
152,mount isa,-20.7333,139.5,297.02,27,9,9.26,AU,1692322055,23.870000000000005
153,saipan,15.1355,145.701,305.54,100,40,4.63,MP,1692322055,32.39000000000004
154,stanley,54.868,-1.6985,286.88,84,67,3.61,GB,1692322056,13.730000000000018
155,tiksi,71.6872,128.8694,277.32,90,100,4.4,RU,1692322056,4.170000000000016
156,lebu,-37.6167,-73.65,280.7,75,26,1.66,CL,1692322056,7.550000000000011
157,motueka,-41.1333,173.0167,286.54,53,67,1.83,NZ,1692322057,13.390000000000043
158,kavaratti,10.5669,72.642,300.78,74,100,4.26,IN,1692322058,27.629999999999995
159,shengli,37.4564,118.4856,302.94,62,100,1.62,CN,1692322058,29.79000000000002
160,fisterra,42.9049,-9.2629,294.68,97,100,9.08,ES,1692322059,21.53000000000003
161,steinbach,50.1667,8.5667,294.88,86,0,3.09,DE,1692321776,21.730000000000018
162,antonio enes,-16.2325,39.9086,293.92,76,5,3.4,MZ,1692322059,20.77000000000004
163,tazovsky,67.4667,78.7,280.85,76,85,3.18,RU,1692322060,7.7000000000000455
164,new glasgow,45.5834,-62.6486,292.47,86,100,3.56,CA,1692322060,19.32000000000005
165,sao joao da barra,-21.6403,-41.0511,295.09,79,3,7.13,BR,1692321790,21.939999999999998
166,agat village,13.3886,144.6585,305.02,75,75,5.14,GU,1692322061,31.870000000000005
167,lianzhou,24.7811,112.3825,302.89,80,0,0.75,CN,1692322062,29.74000000000001
168,belle chasse,29.8549,-89.9906,306.48,56,3,2.24,US,1692322063,33.33000000000004
169,afaahiti,-17.75,-149.2833,299.08,72,83,10.01,PF,1692322063,25.930000000000007
170,fort bragg,35.139,-79.006,302.0,77,0,4.12,US,1692322064,28.850000000000023
171,castillos,-34.1667,-53.8333,287.29,98,100,3.12,UY,1692322064,14.140000000000043
172,micheweni,-4.9667,39.8333,296.6,82,8,4.18,TZ,1692322064,23.450000000000045
173,kingston,17.997,-76.7936,303.68,81,20,5.14,JM,1692321796,30.53000000000003
174,geneina,13.45,22.45,299.22,65,89,2.24,SD,1692322066,26.07000000000005
175,tsiombe,-25.3,45.4833,288.96,73,82,3.06,MG,1692322067,15.810000000000002
176,mariehamn,60.0973,19.9348,288.61,100,0,2.06,AX,1692322067,15.460000000000036
177,ilha de mocambique,-15.0342,40.7358,296.04,76,14,5.09,MZ,1692322067,22.890000000000043
178,udachny,66.4167,112.4,291.69,67,100,8.94,RU,1692322068,18.54000000000002
179,mount pearl,47.5166,-52.7813,285.55,93,0,2.57,CA,1692322068,12.400000000000034
180,berdigestyakh,62.0989,126.6992,293.5,57,0,4.84,RU,1692322069,20.350000000000023
181,san antonio de pale,-1.4014,5.6325,296.36,90,100,6.84,GQ,1692322069,23.210000000000036
182,sassandra,4.95,-6.0833,296.53,95,100,2.9,CI,1692322070,23.379999999999995
183,tolanaro,-25.0319,46.9987,293.19,60,20,8.23,MG,1692322070,20.04000000000002
184,jamestown,42.097,-79.2353,295.92,83,0,4.63,US,1692322027,22.77000000000004
185,bouza,14.4229,6.0428,304.36,50,20,2.73,NE,1692322071,31.210000000000036
186,sibu,2.3,111.8167,299.32,89,20,2.06,MY,1692322071,26.170000000000016
187,klaksvik,62.2266,-6.589,285.66,93,100,7.77,FO,1692322072,12.510000000000048
